candidate_name,votes_received,party_affiliation,constituency,winning_status
Marya McGlew,504754,Wiper,Nairobi,False
Ashly Gosling,905456,ANC,Eldoret,False
Boris Gerleit,779005,ANC,Mombasa,False
Marthe Rome,922968,ANC,Nakuru,True
Heriberto O'Dennehy,281826,UDA,Kisumu,True
Gnni Pavel,452920,ODM,Eldoret,True
Jonis Bowick,263345,ANC,Nakuru,True
Dorette Nornasell,241083,ODM,Eldoret,True
Karlis Chaman,710469,Wiper,Mombasa,False
Bertrando Upson,628099,Jubilee,Mombasa,True
Angelica Hellwig,621362,ODM,Nairobi,False
Casie Hendriks,513177,ANC,Mombasa,True
Alida Androletti,351601,Jubilee,Nairobi,False
Armin Mehmet,848155,ANC,Mombasa,False
Cassaundra Lawland,172809,ODM,Mombasa,True
Audre Pretious,930363,ODM,Eldoret,True
Byrann Sharville,793307,UDA,Mombasa,True
Lucine Oliphant,807086,ANC,Nakuru,True
Di Tolomelli,462056,UDA,Kisumu,True
Ellwood McCollum,466192,UDA,Nairobi,True
Ezri Juhruke,228373,Wiper,Mombasa,False
Stefa Bowcock,199380,Wiper,Nakuru,True
Lee Philbrook,388822,UDA,Mombasa,True
Beverlie Gillett,490785,ANC,Nairobi,False
Christian Fowlestone,28844,Jubilee,Eldoret,True
Meris Parfett,574140,ODM,Nakuru,True
Natassia Philipsson,411263,ODM,Mombasa,True
Caroline Bonnin,694041,ANC,Eldoret,False
Orelia Thow,497180,ANC,Nakuru,False
Graehme Pickavant,654326,ODM,Eldoret,True
Sterling Clementson,742504,ANC,Eldoret,True
Jess Rosenfrucht,923701,Wiper,Nairobi,False
Gwenny Garrood,216500,Wiper,Kisumu,False
Victoria Torry,278841,Jubilee,Nakuru,True
Rubin Keates,158566,UDA,Mombasa,True
Tabatha Haily,633931,UDA,Mombasa,False
Kendall Lycett,879147,Jubilee,Mombasa,True
Floris Belham,92590,Jubilee,Mombasa,False
Dolley Fitkin,837720,ANC,Nairobi,False
Ingamar Bayston,813980,Wiper,Eldoret,False
Yolanda Blow,619976,UDA,Kisumu,True
Rebekah Crates,255565,ODM,Kisumu,True
Hilarius Zielinski,887684,UDA,Nairobi,False
Den Huertas,960119,Jubilee,Eldoret,True
Austine Cowley,756765,ODM,Mombasa,True
Arin Bristow,108498,ANC,Kisumu,True
Heywood Stobbie,651238,UDA,Nairobi,False
Florentia Glowach,518268,Wiper,Mombasa,True
Timmy Mockett,722563,Jubilee,Mombasa,False
Krisha Tirkin,265411,ANC,Mombasa,True
Ninon Clayden,737178,Jubilee,Nakuru,True
Bernadina Hurley,693282,Jubilee,Kisumu,True
Abbye Osmint,285996,ANC,Nakuru,True
Yorker Lartice,523334,UDA,Eldoret,False
Osbourne Boom,918616,UDA,Kisumu,True
Wally Greenhaugh,24981,Jubilee,Nairobi,True
Bobine Craise,179318,UDA,Kisumu,True
Aldo Ace,881495,Wiper,Kisumu,False
Lorene Larkkem,560501,UDA,Nakuru,False
Helga Peyntue,940464,ANC,Nairobi,True
Correy Groucock,561005,Wiper,Nairobi,False
Rockwell Aizlewood,777697,ODM,Kisumu,False
Alex Hanford,252343,ODM,Kisumu,True
Alick Garz,667155,ODM,Eldoret,True
Em Pedrol,592379,UDA,Mombasa,False
Enrico Bryers,917229,Jubilee,Kisumu,False
Louis Dean,461471,Wiper,Mombasa,True
Cherlyn Brisson,666713,Jubilee,Mombasa,False
Bruno Bolstridge,837768,UDA,Mombasa,False
Lynnell Starkings,576723,ANC,Kisumu,True
Meagan Lorne,970796,ODM,Kisumu,False
Gwen Scimone,432592,ODM,Kisumu,False
Jacynth Shalliker,583579,Jubilee,Eldoret,True
Maura Sinderson,688994,ODM,Kisumu,True
Maud Pickton,255371,ANC,Mombasa,False
Bessy Terzi,284515,Wiper,Mombasa,False
Karylin Vaudre,544402,Jubilee,Nakuru,False
Aluino Maulin,336688,ODM,Nakuru,True
Willow Sylvester,423239,Jubilee,Eldoret,True
Morissa Birtles,627713,UDA,Mombasa,True
Colleen Cowey,24653,Jubilee,Nairobi,True
Erick Cattrell,291110,Jubilee,Kisumu,True
Danie Goldring,249693,ANC,Nakuru,False
Conant Pallant,797113,Jubilee,Nakuru,True
Odey Gales,442361,ODM,Nakuru,True
Albrecht Feighry,589353,Wiper,Eldoret,False
Sherlock Burch,329719,ODM,Nairobi,False
Giacopo Barford,963136,UDA,Nakuru,False
Rudiger Denecamp,848671,ODM,Nairobi,False
Rockie Stidever,905097,ANC,Nairobi,False
Tristam Abrahamsson,589628,Jubilee,Eldoret,True
Lewie Scotson,661664,Wiper,Nairobi,False
Mart Kindread,168222,UDA,Nakuru,True
Konrad Drysdale,185263,ANC,Kisumu,True
Jackquelin Daffern,345922,ANC,Eldoret,False
Gerick Treat,718103,Wiper,Nakuru,True
Peta Ference,680437,Wiper,Kisumu,False
Verile Hammersley,766982,ANC,Mombasa,True
Hastings Zanetti,276109,ANC,Nakuru,True
Shanan Maystone,705851,ANC,Mombasa,True
Vinny Vickors,560880,Jubilee,Nairobi,True
Delcine Goldman,941836,UDA,Nairobi,False
Emmey Scotsbrook,434977,Jubilee,Mombasa,False
Annalee Christou,578853,ANC,Nakuru,True
Guthrie Langston,641585,UDA,Kisumu,False
Iolanthe Braybrook,799619,Wiper,Kisumu,True
Christian Ardley,606401,ANC,Nairobi,False
Krystle Jacklin,773261,ANC,Kisumu,False
Marthe Grandham,447678,ANC,Nakuru,False
Kinsley Gavozzi,511861,Jubilee,Nairobi,False
Wilfrid Kyndred,668821,Wiper,Nakuru,True
Claude Rigler,348207,Jubilee,Kisumu,True
Baron Wickrath,139089,Wiper,Nairobi,True
Bertina Antognelli,11279,Jubilee,Eldoret,False
Britni Luxen,768774,ANC,Kisumu,False
Lance Altham,176008,ANC,Eldoret,False
Jenilee Grayshan,18615,ANC,Mombasa,True
Haydon Fardoe,931193,Jubilee,Nakuru,True
Claudina Soutter,837049,UDA,Eldoret,True
Kordula Caddy,700457,ANC,Eldoret,True
Tomi Hockell,58289,UDA,Mombasa,True
Gregorio Lace,323508,Wiper,Kisumu,False
Abe Palia,927039,ANC,Kisumu,False
Rhona Cremer,770312,Wiper,Nakuru,False
Honey Fain,334000,UDA,Nairobi,True
Hershel Smeeth,120531,Wiper,Kisumu,True
Lavina Jozwicki,388293,Wiper,Eldoret,False
Bambi Smidmoor,97462,ODM,Nairobi,False
Vanya Bernardoux,947814,Wiper,Eldoret,False
Torey Siberry,620175,Wiper,Eldoret,False
Reba Dagnan,313401,ANC,Nairobi,True
Fulton Greenfield,789499,Jubilee,Mombasa,True
Philippe Coonan,177594,ANC,Kisumu,True
Dacia Pellett,869287,ANC,Eldoret,True
Donni Sarten,19711,Wiper,Kisumu,False
Martainn Boothebie,863173,ODM,Eldoret,True
Jesse Sorrie,561289,ANC,Kisumu,True
Torrey Carnell,297482,ODM,Kisumu,True
Krystle Dews,11678,Jubilee,Nairobi,False
Colver Monketon,654643,ODM,Eldoret,True
Arnaldo Ronchetti,431936,UDA,Eldoret,False
Paton Falconer,524934,ODM,Kisumu,True
Richy St. Queintain,298200,ANC,Eldoret,True
Kurt Huck,289376,Wiper,Nakuru,False
Eugenio Leyborne,859731,UDA,Nakuru,False
Analise Niezen,599765,Jubilee,Kisumu,False
Gabie Hambridge,577718,ANC,Mombasa,True
Mathilda Fulks,685151,Wiper,Kisumu,False
Charles Faccini,590670,ANC,Mombasa,True
Trixi Merrell,898363,Jubilee,Eldoret,False
Nana Birkmyr,262987,UDA,Nakuru,True
Anthe Camis,75664,ODM,Nairobi,True
Drew Begin,178007,Jubilee,Kisumu,False
Candie Croad,691326,Wiper,Kisumu,False
Stephanus Spriggs,526425,ODM,Mombasa,False
Nolly Reid,481125,Jubilee,Nakuru,True
Anthia Stangoe,36062,ODM,Kisumu,False
Rees Oswell,968218,Jubilee,Kisumu,False
Monte Jacob,691032,ANC,Eldoret,False
Rory Jakuszewski,146902,Wiper,Eldoret,False
Celle Pelfer,393138,ANC,Eldoret,False
Mattie MacCall,424523,ODM,Eldoret,True
Gallagher Sidney,336623,Jubilee,Kisumu,True
Bord Phillcock,197267,ODM,Kisumu,False
Lonnie Steptoe,540082,Wiper,Mombasa,False
Natalee Whitley,976644,UDA,Eldoret,True
Joy Hiom,364674,ODM,Mombasa,False
Thia Schaumann,112392,ODM,Nakuru,True
Marianna MacGilfoyle,9578,ANC,Kisumu,False
Gracia Acarson,60664,Jubilee,Eldoret,True
Sol Mc Grath,684620,UDA,Mombasa,False
Catriona Kennea,157878,ANC,Eldoret,False
Salvador Bulstrode,925305,ODM,Nakuru,False
Isabel Paskerful,867273,Jubilee,Nakuru,True
Yetty Jarrad,385557,UDA,Nakuru,False
Patty Plomer,767222,Jubilee,Eldoret,True
Solomon Darleston,418336,UDA,Kisumu,True
Dore Pettegre,663628,Wiper,Nakuru,True
Milt Furtado,16833,UDA,Mombasa,False
Kalina Exell,784228,ANC,Nairobi,True
Levon Fiddyment,377312,ODM,Nakuru,True
Kalil Halle,114400,Wiper,Mombasa,True
Thoma Simeone,541004,Jubilee,Eldoret,False
Ester Dorney,680853,ODM,Nakuru,False
Roxie York,923007,UDA,Nairobi,False
Lutero Hart,851330,UDA,Kisumu,True
Diane Ziehm,70665,Wiper,Kisumu,True
Lynette Valintine,912730,Wiper,Nairobi,False
Mozes Caser,278830,UDA,Nakuru,True
Georgy Wakefield,89316,ANC,Eldoret,True
Roseann Tothacot,187565,Jubilee,Nairobi,True
Tanney Kennifick,755526,ANC,Kisumu,False
Elvira Borit,179594,ANC,Mombasa,True
Orson Digweed,707311,UDA,Nakuru,True
Felecia Correa,414654,Jubilee,Kisumu,True
Netta Fletcher,407718,ANC,Eldoret,True
Gregoire Genicke,142134,Wiper,Kisumu,True
Doro Sennett,825289,Jubilee,Nairobi,False
Patton Demare,678195,UDA,Nairobi,False
Harley Housden,854096,Jubilee,Mombasa,False
Nickolas Caldairou,18194,Jubilee,Nairobi,True
Reilly Antoniewski,455226,UDA,Nairobi,False
Bernarr Wank,756701,Jubilee,Nairobi,True
Briana Sankey,925110,UDA,Nakuru,True
Marketa Dorkens,988179,ODM,Mombasa,True
Millicent Furlow,376541,UDA,Eldoret,True
Rock De Caville,394350,Wiper,Eldoret,True
Ethelda Kelloch,541777,ODM,Nakuru,False
Keven Hewes,92158,ANC,Nakuru,False
Orlando Doncaster,174268,Jubilee,Mombasa,False
Lucien Tuvey,877432,Wiper,Mombasa,False
Babara Johnes,123778,ANC,Kisumu,True
Herbie Allchin,456392,ANC,Nakuru,True
Jamison Lantuff,838016,ANC,Nakuru,False
Minnaminnie Mathewson,377760,Wiper,Nakuru,False
Ignace Galero,792421,Jubilee,Nakuru,False
Crista Cazereau,513504,UDA,Kisumu,False
Nathanael Scrancher,469288,ODM,Eldoret,True
Elmo Mousley,82728,ANC,Nairobi,True
Lotty Howes,825374,UDA,Kisumu,False
Melicent Cristofor,45371,UDA,Nakuru,False
Charmain Silkstone,323395,Wiper,Mombasa,True
Cassy Crampsey,928116,UDA,Nairobi,False
Ezra Scougal,532495,ODM,Nakuru,True
Katherina Bonnette,301907,Jubilee,Mombasa,False
Anetta Dacres,353495,ANC,Nakuru,True
Ephrem Tookey,276336,ANC,Eldoret,True
Damian Phlippi,398472,ANC,Nairobi,True
Quincey Pellington,609348,ODM,Nakuru,True
Emylee Duchatel,909526,Wiper,Nakuru,True
Ara Loghan,852259,Wiper,Eldoret,True
Faustine Aitken,397867,UDA,Nakuru,False
Keri Petrescu,256526,UDA,Kisumu,False
Silvana Lodeke,96344,ODM,Nairobi,True
Natalee Franzonello,531881,ANC,Mombasa,True
Sonni Graal,614734,Jubilee,Nairobi,True
Brnaby Bachelar,907862,ANC,Eldoret,False
Virge Shuter,121262,UDA,Eldoret,True
Town O'Boyle,279007,ANC,Nakuru,False
Amalle Gurling,212310,ANC,Nairobi,True
Jacintha Chetter,977847,ODM,Kisumu,True
Skylar Elmhirst,189518,UDA,Nakuru,False
Haslett Lohan,394065,Wiper,Eldoret,False
Lloyd Tomlett,490337,Jubilee,Kisumu,False
Codi Drinnan,53889,Wiper,Nairobi,True
Modesty Schubert,810710,Wiper,Eldoret,False
Blaine Yanin,131352,Wiper,Eldoret,False
Myrvyn Korting,595262,UDA,Mombasa,True
Casar Ernke,191128,Wiper,Mombasa,False
Jilly Claeskens,913509,Jubilee,Kisumu,True
Annelise Dymock,892500,Wiper,Eldoret,True
Myrvyn Leap,592890,ODM,Nairobi,True
Denice Gaskell,76012,Wiper,Eldoret,True
Bernadette Sinkin,969607,Wiper,Kisumu,True
Erna Hefford,208811,UDA,Nakuru,False
Joy Brockest,673792,UDA,Mombasa,True
Jodi Northey,167067,ANC,Eldoret,True
Olivia Dugald,357620,Wiper,Eldoret,False
Marielle Hounsom,543716,UDA,Nairobi,True
Trisha Mesnard,815860,UDA,Eldoret,True
Erasmus Enga,207900,ANC,Mombasa,False
Myer Artindale,165167,ODM,Nakuru,False
Brander Antyshev,242537,Wiper,Mombasa,False
Pepillo Ganford,845389,UDA,Nakuru,False
Sile Petrovsky,217399,Jubilee,Eldoret,True
Sandy Burnand,280344,ODM,Kisumu,False
Brigitta Ternault,828903,Wiper,Nairobi,True
Hedwiga Gentzsch,698183,ODM,Kisumu,True
Flory Aliman,259322,Wiper,Eldoret,True
Joseph Balls,74587,UDA,Mombasa,True
Corbett Arsnell,714471,UDA,Eldoret,True
Tiphani Margach,328597,ANC,Nakuru,True
Deane Glyssanne,1415,ODM,Nakuru,True
Fowler Hancorn,311943,ODM,Eldoret,False
Olav O'Currigan,2785,Wiper,Eldoret,True
Irma Jovasevic,667878,Wiper,Nairobi,False
Hewet Davydenko,219360,Wiper,Kisumu,True
Cordell Codlin,241779,ODM,Nakuru,True
Lindy Lukas,247936,UDA,Kisumu,False
Bernelle Masselin,396673,ODM,Kisumu,False
Kyla Brenneke,441004,Wiper,Nairobi,False
Hansiain Jewel,389390,ODM,Nairobi,False
Abel Pfleger,382233,UDA,Nairobi,False
Piotr Lawes,61754,ODM,Kisumu,False
Milena Cutts,512799,ODM,Eldoret,False
Graeme Iglesias,544207,ODM,Nakuru,True
Franky Baggett,767158,UDA,Nairobi,True
Timmy Gillie,208014,ANC,Nairobi,False
Cass Frankis,956719,UDA,Eldoret,True
Flem Le Noury,901199,ODM,Nairobi,False
Powell Prozescky,608025,ANC,Kisumu,True
Aile Jimeno,142559,ANC,Mombasa,False
Crissy Lamanby,293063,UDA,Kisumu,False
Helsa Jaime,742762,ODM,Nakuru,False
Alessandra Iacobassi,994122,Wiper,Nairobi,False
Elianora Skotcher,361494,Jubilee,Nairobi,True
Jo Mytton,277068,UDA,Nairobi,False
Gard Lees,698918,ANC,Kisumu,False
Moise Jay,256808,UDA,Nairobi,False
Thalia Fetherby,544761,UDA,Nakuru,True
Romy Spicer,947724,UDA,Kisumu,True
Lucinda Colliver,175376,ODM,Nakuru,True
Israel Teeney,755472,Wiper,Nairobi,False
Doy Ast,200356,ANC,Nairobi,False
Viviyan Busen,809405,UDA,Nairobi,False
Garald Davydochkin,596105,Wiper,Nakuru,True
Ned Worral,154277,ANC,Nairobi,False
Cindee Faust,128700,Jubilee,Nakuru,False
Hedwig Danskine,333221,Jubilee,Eldoret,False
Roze Bilborough,46157,Jubilee,Kisumu,True
Arabela Kingaby,804958,ODM,Nakuru,False
Angelina Harron,925653,UDA,Nairobi,False
Ertha Ayerst,866230,ANC,Nakuru,False
Lizette Ruslen,853535,ODM,Eldoret,True
Padraig McTeggart,498375,Wiper,Nairobi,False
Johny Musico,64519,Wiper,Nakuru,True
Nathanil Antoniak,552028,Wiper,Eldoret,True
Vincent Dunnion,800793,Jubilee,Nakuru,False
Ulrick Duckworth,73415,UDA,Nakuru,False
Benedikta Vergine,674670,Jubilee,Nairobi,True
Lorrie Stormes,158514,ODM,Nairobi,False
Toby Konke,209570,UDA,Eldoret,False
Holly-anne Hartil,781426,ODM,Eldoret,True
Tomasine Riche,513589,Jubilee,Nakuru,True
Adelbert Shoosmith,879293,UDA,Mombasa,True
Siffre Alvey,533943,ANC,Nakuru,False
Veronika Dubose,148964,UDA,Eldoret,False
Cherice Pavlenkov,18460,UDA,Nairobi,True
Dede Johnke,967210,ODM,Kisumu,True
Brittany Rosel,718036,Jubilee,Nakuru,False
Prentice Downer,546701,UDA,Eldoret,True
Laureen Arnke,222816,ODM,Mombasa,False
Flemming Paiton,398186,UDA,Mombasa,False
Clementine Colebrook,229760,Wiper,Mombasa,False
Burnard Coleborn,519390,UDA,Nairobi,True
Lorena Rosoni,196444,UDA,Nairobi,False
Mina Eakin,974718,ODM,Kisumu,True
Jereme Wisniowski,640934,ANC,Eldoret,True
Janith Munford,282099,ODM,Nakuru,False
Gifford Gass,966081,ANC,Mombasa,True
Marleen Pyne,21603,UDA,Nairobi,False
Travus Seeler,141618,ANC,Nakuru,True
Abba Knudsen,696545,UDA,Nairobi,True
Debra Shreve,611543,Jubilee,Kisumu,False
Aymer Vamplus,103806,ODM,Eldoret,True
Giff Alanbrooke,791258,Jubilee,Nairobi,False
Nellie Oxer,250906,Jubilee,Eldoret,False
Kat Overal,137073,ODM,Nakuru,False
Prisca Cousans,678866,Jubilee,Eldoret,True
Marji Fattorini,261448,ANC,Nairobi,True
Winne Birtley,579270,ANC,Kisumu,True
Jeni Di Filippo,193068,Jubilee,Kisumu,True
Beatrix Secrett,307282,ODM,Kisumu,True
Fraser D'Ambrosio,486807,UDA,Nairobi,False
Jerrie Linsey,41185,Wiper,Eldoret,True
Stephenie Fellows,995133,UDA,Nairobi,True
Salem Riden,384702,Jubilee,Mombasa,False
Pepe Costelow,14011,ANC,Nakuru,True
Karly Smeal,952992,ODM,Mombasa,True
Lorenza Boulstridge,186080,ANC,Nairobi,True
Devlin Ell,404294,UDA,Nairobi,True
Dunstan Blaxton,959413,ANC,Eldoret,True
Kiel Loggie,306784,ANC,Eldoret,True
Tansy Creech,791923,UDA,Eldoret,False
Patsy Hugli,617034,ODM,Kisumu,False
Ashley Sieb,174669,ODM,Eldoret,False
Bel Geerdts,118059,ANC,Eldoret,False
Queenie Ledstone,770756,Jubilee,Eldoret,True
Griselda Marwood,468286,Jubilee,Nakuru,False
Lynn Purchon,663429,ODM,Mombasa,False
Stanly Tatersale,989642,Wiper,Eldoret,True
Emlynne Dray,101580,Jubilee,Nakuru,False
Claresta Wherrit,528464,ANC,Mombasa,True
Elie Rolston,351263,ANC,Eldoret,False
Berna McLarty,179616,ANC,Mombasa,True
Roxana Wainman,153709,Jubilee,Nakuru,False
Ambrosius Scone,306612,Wiper,Mombasa,True
Hinze BoHlingolsen,348655,UDA,Kisumu,True
Sal St. Quintin,375801,UDA,Kisumu,True
Niels Thewless,392441,ANC,Kisumu,True
Stewart Persian,377648,UDA,Eldoret,False
Rafael Howley,442453,ODM,Kisumu,True
Valencia McAlpin,873339,ODM,Nakuru,True
Dodi Jelkes,601493,ANC,Eldoret,False
Noreen Ingliss,186770,ANC,Eldoret,True
Tove Brosini,154210,Jubilee,Mombasa,True
Lorna Atger,879354,UDA,Kisumu,False
Doy Bennie,748278,Jubilee,Kisumu,True
Ivory Earnshaw,491042,ODM,Kisumu,False
Adriaens Tussaine,301920,Wiper,Kisumu,True
Magdaia Peirce,838676,Wiper,Nakuru,True
Tiebold Scurrey,226252,UDA,Nairobi,False
Reynolds Molden,118943,ANC,Kisumu,False
Oberon Sondland,956764,UDA,Nairobi,False
Hortense Withey,54311,Wiper,Eldoret,True
Vasily Fullegar,907244,Wiper,Nairobi,True
Pooh Heinsius,637264,ODM,Kisumu,False
Teena Beet,496041,ODM,Eldoret,True
Jilli Edwick,571700,Jubilee,Kisumu,True
Marlane Rignoldes,272833,Wiper,Nairobi,False
Pepi McEttigen,750296,ANC,Nakuru,True
Taber MacTerlagh,338718,ANC,Eldoret,False
Goober Ollander,747552,Wiper,Mombasa,True
Colette Jehan,951134,ANC,Mombasa,False
Bren Bellew,589227,ANC,Eldoret,True
Delmore Quillinane,444198,Wiper,Mombasa,False
Winny Brunsdon,673327,Wiper,Eldoret,True
Elyse Millwater,890554,ODM,Mombasa,True
Idalina D'Abbot-Doyle,581739,Wiper,Nairobi,False
Clerkclaude Falk,103110,ANC,Nakuru,False
Christean Meeks,136413,Wiper,Nairobi,False
Vallie Linne,721142,Jubilee,Mombasa,True
Wynn Larne,475610,Jubilee,Nakuru,True
Darrelle Allsepp,240158,Jubilee,Kisumu,False
Vanna McLevie,620825,ODM,Kisumu,True
Gwenny Kollaschek,294098,ANC,Kisumu,True
Brinn Harrell,199509,UDA,Nairobi,True
Averil Espinay,613345,Wiper,Nakuru,True
Allayne Harring,605868,ODM,Nakuru,False
Delila Finnigan,416187,ANC,Nairobi,True
Sisely Leete,922629,ODM,Nairobi,False
Rosella Starten,86847,ANC,Nakuru,False
Timofei Drewry,152717,ANC,Kisumu,True
Hakim Hryskiewicz,972916,Wiper,Kisumu,False
Amery Sandys,370468,Wiper,Eldoret,True
Bettina Martini,747967,Wiper,Nakuru,True
Kristen O'Longain,440467,UDA,Eldoret,False
Brucie Demsey,106214,Jubilee,Eldoret,True
Arleta Devenny,765580,ANC,Nakuru,True
Shani Shaul,727711,ODM,Nakuru,True
Nertie Colebourne,867909,ODM,Kisumu,True
Adria Grenshiels,676051,Jubilee,Nakuru,False
Roma Cadell,618989,UDA,Nakuru,True
Vilma Szachniewicz,284635,ANC,Kisumu,True
Veronica Hopfner,362744,ODM,Kisumu,True
Gian Kisbey,646972,Jubilee,Nairobi,True
Timmi Goublier,279182,Wiper,Nakuru,True
Tome Lovering,696272,ANC,Eldoret,True
Althea GiacobbiniJacob,236854,ODM,Kisumu,False
Ana Saice,2143,Jubilee,Eldoret,False
